,base_market,quote_market,hedge_ratio,half_life
0,SOL-USD,ALGO-USD,514.7007459947018,14.0
1,ZEC-USD,XMR-USD,0.1478351362951632,21.0
2,AAVE-USD,BCH-USD,0.4056852027412973,13.0
3,AAVE-USD,DOT-USD,13.761549316212431,15.0
4,AAVE-USD,1INCH-USD,225.77877766689411,19.0
5,AAVE-USD,ENJ-USD,331.1925408697458,8.0
6,AAVE-USD,ZRX-USD,307.1575368538185,8.0
7,AAVE-USD,SNX-USD,28.58342644883904,9.0
8,LINK-USD,XMR-USD,0.09626313107319183,17.0
9,BCH-USD,ICP-USD,20.167161580395195,24.0
10,BCH-USD,FIL-USD,43.16965967970015,15.0
11,BCH-USD,MATIC-USD,298.57348927634905,14.0
12,BCH-USD,CRV-USD,459.29658228462637,12.0
13,BCH-USD,DOT-USD,33.90013267038741,17.0
14,BCH-USD,ADA-USD,470.21322208813314,9.0
15,BCH-USD,ENJ-USD,815.8986546787322,10.0
16,BCH-USD,SNX-USD,70.39959094712519,15.0
17,BCH-USD,XLM-USD,2103.7099082244085,18.0
18,XMR-USD,COMP-USD,2.8208483037177654,19.0
19,XMR-USD,TRX-USD,1424.054145481122,13.0
20,YFI-USD,FIL-USD,1342.2269310405134,13.0
21,YFI-USD,DOT-USD,1053.7848103490019,19.0
22,YFI-USD,ATOM-USD,773.1410419557567,6.0
23,DOGE-USD,SUSHI-USD,0.07375124439033325,10.0
24,MKR-USD,UNI-USD,307.19479376862216,15.0
25,ICP-USD,NEAR-USD,3.784704570366707,14.0
26,ALGO-USD,AVAX-USD,0.0052904154883188816,9.0
27,FIL-USD,MATIC-USD,6.912910006999528,12.0
28,FIL-USD,DOT-USD,0.7849855068609701,10.0
29,FIL-USD,1INCH-USD,12.882906650449922,10.0
30,FIL-USD,AVAX-USD,0.1638489041648024,12.0
31,MATIC-USD,DOT-USD,0.11353466007251369,9.0
32,MATIC-USD,1INCH-USD,1.8627906720771352,16.0
33,MATIC-USD,ADA-USD,1.574343107387661,12.0
34,MATIC-USD,ENJ-USD,2.731984466132775,9.0
35,MATIC-USD,SNX-USD,0.23578239418218494,10.0
36,CRV-USD,ADA-USD,1.0234966840303155,10.0
37,CRV-USD,ENJ-USD,1.7761173048099088,7.0
38,CRV-USD,ZRX-USD,1.6472010130766213,8.0
39,CRV-USD,XLM-USD,4.579915254988337,16.0
40,NEAR-USD,DOT-USD,0.44315325739146505,15.0
41,NEAR-USD,AVAX-USD,0.09252024115888113,10.0
42,DOT-USD,1INCH-USD,16.404162651211433,15.0
43,DOT-USD,ENJ-USD,24.058015670502,12.0
44,DOT-USD,AVAX-USD,0.20872158680535935,7.0
45,CELO-USD,1INCH-USD,1.625354193215551,13.0
46,CELO-USD,ZRX-USD,2.210200679059078,13.0
47,1INCH-USD,ADA-USD,0.8442276322077874,19.0
48,1INCH-USD,ENJ-USD,1.465159516711597,20.0
49,1INCH-USD,ZRX-USD,1.3588692022162931,17.0
50,1INCH-USD,AVAX-USD,0.012708624182055152,16.0
51,1INCH-USD,SNX-USD,0.12644836998441752,15.0
52,ADA-USD,ENJ-USD,1.7351627715763216,5.0
53,ADA-USD,SNX-USD,0.14971719657730856,12.0
54,ENJ-USD,AVAX-USD,0.008671649120833473,14.0
55,ENJ-USD,XLM-USD,2.5777989267718846,21.0
56,ENJ-USD,ATOM-USD,0.030473709773301078,12.0
57,UNI-USD,ETH-USD,0.0026122986615981893,16.0
58,EOS-USD,ATOM-USD,0.07447416811989092,8.0
